Catalyst,Hydrothermal synthesis time (min),Energy Band gap (Eg) eV,C (At%),O (At%),Fe (At%),Al (At%),Ni (At%),Mo (At%),S (At%),Bi,Ag,Pd,Pt,Surface area (m2/g),Pore volume (cm3/g),Pore size (nm),volume (L),loading (g),Catalyst_loading_mg,Light intensity (watt),Light source distance (cm),Time (m),Dye,Dye concentration (mg/L),Solution pH,Ci,HA (mg/L),Anions,log_Kw,hydrogen_bonding_acceptor_count,hydrogen_bonding_donor_count,solubility (g/L),molecular_wt (g/mol),Cf,Efficiency
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,30,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,10.95322759,42.45586957
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,40,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,10.87684729,42.85714286
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,40,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,11.46081839,39.78917874
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,40,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,10.98308046,42.29903382
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,50,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,9.789162562,48.57142857
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,50,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,9.343773655,50.91133406
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,50,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,9.573701149,49.70338164
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,60,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,5.438423645,71.42857143
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,60,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,5.086298851,73.27850242
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,60,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,4.723572414,75.18413043
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,80,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,3.328315271,82.51428571
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,80,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,3.276875862,82.78452899
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,80,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,3.223302069,83.06598551
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,100,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,1.544512315,91.88571429
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,100,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,1.599172414,91.59855072
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,100,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,1.484492304,92.20103681
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,120,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.76137931,96
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,120,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.722850575,96.20241546
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,120,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.689655172,96.37681159
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.23929064,98.74285714
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.279414837,98.53205973
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,150,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.23929064,98.74285714
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,180,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.02382266,99.87484472
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,180,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.022988506,99.87922705
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,180,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.049529655,99.73978986
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.021739724,99.88578768
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.015103448,99.92065217
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.019670115,99.89666063
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,35,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,3.914552763,79.43441483
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,35,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,3.851618391,79.76504831
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,35,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,3.345920609,82.4217939
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,70,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,2.62996374,86.18316151
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,70,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,2.794147743,85.32060063
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,70,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,2.355829327,87.62336042
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.091034483,99.52173913
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.114656216,99.39763944
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.049517241,99.73985507
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.009517241,99.95
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.19458976,98.97769872
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.004952966,99.97397899
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,16,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.157575637,99.17215698
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,16,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.173457517,99.08871957
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,16,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.105391848,99.44631094
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,23,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.472055172,97.52
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,23,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.815805517,95.71406522
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,20,105,23,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,0.28678131,98.49335906
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.01,5,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,4.75862069,75
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.01,5,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,5.182850575,72.77125604
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.01,5,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,4.952965517,73.97898551
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.01,10,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,4.109095172,78.41236232
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.01,10,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,4.311388506,77.34958937
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.01,10,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,4.56682069,76.00764493
LM1,1320,4.61,11.16,51.39,9.1,13.68,10.85,1.13,2.69,0,0,0,0,77,0.1496,7.71,0.02,0.02,15,105,9,210,Indigo,20,11,19.03448276,0,0,3.0606,9,2,10,466.36,1.522758621,92
